tag3	tag1	name	autonym
bzp		Kemberano	
bzo		Bozaba	
bzn		Boano (Maluku)	
bzm		Bolondo	
bzl		Boano (Sulawesi)	
bzk		Nicaragua Creole English	Creole
bzj		Belize Kriol English	Kriol
bzi		Bisu	Mbisu
bzh		Mapos Buang	
bzg		Babuza	
bzf		Boikin	
bze		Jenaama Bozo	
bzd		Bribri	Bribri
bzc		Southern Betsimisaraka Malagasy	
bzb		Andio	
bza		Bandi	
byz		Banaro	
byx		Qaqet	
byw		Belhariya	
byv		Medumba	Medumba
byt		Berti	
bys		Burak	
byr		Baruya	
byq		Basay	
byp		Bumaji	
byo		Biyo	
byn		Blin	ብሊን
bym		Bidyara	
byl		Bayono	
byk		Biao	
byj		Bina (Nigeria)	
byi		Buyu	
byh		Bhujel	
byg		Baygo	
byf		Bete	
bye		Pouye	
byd		Benyadu'	
byc		Ubaghara	
byb		Bikya	
bya		Batak	
bxz		Binahari	
bxw		Bankagooma	
bxv		Berakou	
bxu		China Buriat	
bxs		Busam	
bxr		Russia Buriat	
bxq		Beele	
bxp		Bebil	
bxo		Barikanchi	
bxn		Burduna	
bxm		Mongolia Buriat	
bxl		Jalkunan	
bxk		Bukusu	
bxj		Bayungu	
bxi		Pirlatapa	
bxh		Buhutu	Buhutu
bxg		Bangala	Bangala
bxf		Bilur	
bxe		Birale	
bxd		Pela	
bxc		Molengue	
bxb		Belanda Bor	
bxa		Tairaha	
bwz		Bwisi	
bwy		Cwi Bwamu	
bwx		Bu-Nao Bunu	
bww		Bwa	
bwu		Buli (Ghana)	Builsa
bwt		Bafaw-Balong	
bws		Bomboma	
bwr		Bura-Pabir	
bwq		Southern Bobo Madaré	Boboda
bwp		Mandobo Bawah	
bwo		Boro (Ethiopia)	Borna
bwn		Wunai Bunu	
bwm		Biwat	
bwl		Bwela	
bwk		Bauwaki	
bwj		Láá Láá Bwamu	
bwi		Baniwa	
bwh		Bishuo	
bwg		Barwe	
bwf		Boselewa	
bwe		Bwe Karen	
bwd		Bwaidoka	
bwc		Bwile	
bwb		Namosi-Naitasiri-Serua	
bwa		Bwatoo	
bvz		Bauzi	
bvy		Baybayanon	
bvx		Dibole	
bvw		Boga	
bvv		Baniva	
bvu		Bukit Malay	
bvt		Bati (Indonesia)	
bvr		Burarra	
bvq		Birri	
bvp		Bumang	
bvo		Bolgo	
bvn		Buna	
bvm		Bamunka	Niemeng
bvl		Bolivian Sign Language	
bvk		Bukat	
bvj		Baan	
bvi		Belanda Viri	Viri
bvh		Bure	
bvg		Bonkeng	
bvf		Boor	
bve		Berau Malay	
bvd		Baeggu	
bvc		Baelelea	
bvb		Bube	
bva		Barein	
buz		Bukwen	
buy		Bullom So	
bux		Boghom	
buw		Bubi	
buv		Bun	
buu		Budu	
but		Bungain	
bus		Bokobaru	Zogben
buq		Brem	
bup		Busoa	
buo		Terei	
bun		Sherbro	
bum		Bulu	
cdy		Chadong	
wol	wo	Wolof	Wolof
wok		Longto	
woi		Kamang	
wln	wa	Walloon	
vol	vo	Volapük	Volapük
vie	vi	Vietnamese	Tiếng Việt
ven	ve	Venda	Tshivenḓa
uzb	uz	Uzbek	o‘zbek
urd	ur	Urdu	اردو
ukr	uk	Ukrainian	українська
uig	ug	Uyghur	ئۇيغۇرچە
tah	ty	Tahitian	Reo Tahiti
twi	tw	Twi	
tat	tt	Tatar	татар
tso	ts	Tsonga	Xitsonga
tur	tr	Turkish	Türkçe
ton	to	Tongan	lea fakatonga
tsn	tn	Tswana	Setswana
tgl	tl	Tagalog	Tagalog
tuk	tk	Turkmen	Türkmen dili
tir	ti	Tigrinya	ትግርኛ
tha	th	Thai	ไทย
tgk	tg	Tajik	тоҷикӣ
tel	te	Telugu	తెలుగు
tam	ta	Tamil	தமிழ்
swa	sw	Swahili	Kiswahili
swe	sv	Swedish	svenska
sun	su	Sundanese	Sunda
sot	st	Southern Sotho	Sesotho
ssw	ss	Swati	siSwati
srp	sr	Serbian	српски
sqi	sq	Albanian	shqip
som	so	Somali	Soomaali
sna	sn	Shona	chiShona
smo	sm	Samoan	Gagana Samoa
slv	sl	Slovenian	slovenščina
slk	sk	Slovak	slovenčina
sin	si	Sinhala	සිංහල
hbs	sh	Serbo-Croatian	
sag	sg	Sango	Sängö
sme	se	Northern Sami	davvisámegiella
snd	sd	Sindhi	سنڌي
srd	sc	Sardinian	
san	sa	Sanskrit	संस्कृत भाषा
kin	rw	Kinyarwanda	Kinyarwanda
rus	ru	Russian	русский
ron	ro	Romanian	română
run	rn	Rundi	Ikirundi
roh	rm	Romansh	rumantsch
que	qu	Quechua	Runasimi
por	pt	Portuguese	português
pus	ps	Pashto	پښتو
pol	pl	Polish	polski
pli	pi	Pali	
pan	pa	Punjabi	ਪੰਜਾਬੀ
oss	os	Ossetic	ирон
ori	or	Odia	ଓଡ଼ିଆ
orm	om	Oromo	Oromoo
oji	oj	Ojibwa	
oci	oc	Occitan	occitan
nya	ny	Nyanja	Chichewa, chiCheŵa‎ (Chichewa), chiNyanja
nav	nv	Navajo	Diné
nbl	nr	South Ndebele	isiNdebele
nor	no	Norwegian	Norsk
nno	nn	Norwegian Nynorsk	nynorsk
nld	nl	Dutch	Nederlands
ndo	ng	Ndonga	
nep	ne	Nepali	नेपाली
nde	nd	North Ndebele	isiNdebele
nob	nb	Norwegian Bokmål	norsk bokmål
nau	na	Nauru	
mya	my	Burmese	မြန်မာ
mlt	mt	Maltese	Malti
msa	ms	Malay	Melayu
mar	mr	Marathi	मराठी
mon	mn	Mongolian	монгол
mal	ml	Malayalam	മലയാളം
mkd	mk	Macedonian	македонски
mri	mi	Maori	te reo Maori
mah	mh	Marshallese	
mlg	mg	Malagasy	Malagasy
lav	lv	Latvian	latviešu
lub	lu	Luba-Katanga	Tshiluba
lit	lt	Lithuanian	lietuvių
lao	lo	Lao	ລາວ
lin	ln	Lingala	lingála
lim	li	Limburgish	Limbourgeois, Limburgs
lug	lg	Ganda	Luganda
ltz	lb	Luxembourgish	Lëtzebuergesch
lat	la	Latin	
kir	ky	Kyrgyz	кыргызча
cor	kw	Cornish	kernewek
kom	kv	Komi	
kur	ku	Kurdish	kurdî
kas	ks	Kashmiri	کٲشُر
kau	kr	Kanuri	
kor	ko	Korean	한국어
kan	kn	Kannada	ಕನ್ನಡ
khm	km	Khmer	ខ្មែរ
kal	kl	Kalaallisut	kalaallisut
kaz	kk	Kazakh	қазақ тілі
kua	kj	Kuanyama	Oshikwanyama
kik	ki	Kikuyu	Gikuyu
kon	kg	Kongo	
kat	ka	Georgian	ქართული
jav	jv	Javanese	Basa Jawa
jpn	ja	Japanese	日本語
iku	iu	Inuktitut	ᐃᓄᒃᑎᑐᑦ
ita	it	Italian	italiano
isl	is	Icelandic	íslenska
ido	io	Ido	
ipk	ik	Inupiaq	
iii	ii	Sichuan Yi	ꆈꌠꉙ
ibo	ig	Igbo	Igbo
ile	ie	Interlingue	
ind	id	Indonesian	Indonesia
ina	ia	Interlingua	interlingua
her	hz	Herero	
hye	hy	Armenian	հայերեն
hun	hu	Hungarian	magyar
hat	ht	Haitian Creole	Ayisyen, Kreyòl
hrv	hr	Croatian	hrvatski
hmo	ho	Hiri Motu	
hin	hi	Hindi	हिन्दी
heb	he	Hebrew	עברית
hau	ha	Hausa	Hausa
glv	gv	Manx	Gaelg
guj	gu	Gujarati	ગુજરાતી
grn	gn	Guarani	
glg	gl	Galician	galego
gla	gd	Scottish Gaelic	Gàidhlig
gle	ga	Irish	Gaeilge
fry	fy	Western Frisian	Frysk
fra	fr	French	français
fao	fo	Faroese	føroyskt
fij	fj	Fijian	
fin	fi	Finnish	suomi
ful	ff	Fulah	Pulaar
fas	fa	Persian	فارسی
eus	eu	Basque	euskara
est	et	Estonian	eesti
spa	es	Spanish	español
epo	eo	Esperanto	esperanto
eng	en	English	English
ell	el	Greek	Ελληνικά
ewe	ee	Ewe	Eʋegbe
dzo	dz	Dzongkha	རྫོང་ཁ
div	dv	Divehi	ދިވެހިބަސް
deu	de	German	Deutsch
dan	da	Danish	dansk
cym	cy	Welsh	Cymraeg
chv	cv	Chuvash	Чӑвашла
chu	cu	Church Slavic	церковнослове́нскїй
ces	cs	Czech	čeština
cre	cr	Cree	
cos	co	Corsican	Corsu
cha	ch	Chamorro	Chamorru
cav		Cavineña	
caw		Callawalla	
cax		Chiquitano	
cay		Cayuga	
caz		Canichana	
cbb		Cabiyarí	
cbc		Carapana	
cbd		Carijona	
cbg		Chimila	
cbi		Chachi	Cha’Palaa
cbj		Ede Cabe	
cbk		Chavacano	
cbl		Bualkhaw Chin	
cbn		Nyahkur	
cbo		Izora	
cbq		Tsucuba	
cbr		Cashibo-Cacataibo	Kakataibo-Kashibo
cbs		Cashinahua	
cbt		Chayahuita	
cbu		Candoshi-Shapra	
cbv		Cacua	
cbw		Kinabalian	
cby		Carabayo	
cca		Cauca	
ccc		Chamicuro	
ccd		Cafundo Creole	
cce		Chopi	
ccg		Samba Daka	
cch		Atsam	
ccj		Kasanga	
ccl		Cutchi-Swahili	
ccm		Malaccan Creole Malay	
cco		Comaltepec Chinantec	Jmii’
ccp		Chakma	𑄌𑄋𑄴𑄟𑄳𑄦
ccr		Cacaopera	
cda		Choni	
cde		Chenchu	
cdf		Chiru	
cdg		Chamari	
cdh		Chambeali	
cdi		Chodri	
cdj		Churahi	
cdm		Chepang	
cdn		Chaudangsi	
cdo		Min Dong Chinese	平話‎ (Bangua), 闽东话‎ (Mindongyu)
cdr		Cinda-Regi-Tiyal	
cds		Chadian Sign Language	
wog		Wogamusin	
cdz		Koda	
cea		Lower Chehalis	
ceb		Cebuano	Binisaya
ceg		Chamacoco	Yshyr Ybytoso
cek		Eastern Khumi Chin	
cen		Cen	
cet		Centúúm	
cfa		Dijim-Bwilim	
cfd		Cara	
cfg		Como Karim	
cfm		Falam Chin	Falam Chin
cga		Changriwa	
cgc		Kagayanen	Kagayanen
cgg		Chiga	Rukiga
cgk		Chocangacakha	
chb		Chibcha	
chc		Catawba	
chd		Highland Oaxaca Chontal	Tsome
chf		Tabasco Chontal	Yocot’an
chg		Chagatai	
chh		Chinook	
chj		Ojitlán Chinantec	Jmiih kia’ dzä ‘vï ï, Jujmi
chk		Chuukese	
chl		Cahuilla	
chm		Mari	
chn		Chinook Jargon	Chinuk Wawa
cho		Choctaw	
chp		Chipewyan	
chq		Quiotepec Chinantec	juu jmiih
chr		Cherokee	ᏣᎳᎩ
cht		Cholón	
chw		Chuwabu	
chx		Chantyal	
chy		Cheyenne	
chz		Ozumacín Chinantec	Jumi dsa mojai, Juujmii
cia		Cia-Cia	
cib		Ci Gbe	
cic		Chickasaw	
cid		Chimariko	
cie		Cineni	
cih		Chinali	
cik		Chitkuli Kinnauri	
cim		Cimbrian	
cin		Cinta Larga	
cip		Chiapanec	
cir		Tiri	
ciw		Chippewa	
ciy		Chaima	
cja		Western Cham	Cham
cje		Chru	
cjh		Upper Chehalis	
cji		Chamalal	
cjk		Chokwe	
cjm		Eastern Cham	
cjn		Chenapian	
cjo		Ashéninka Pajonal	
cjp		Cabécar	Cabécar
cjs		Shor	
cjv		Chuave	
cjy		Jinyu Chinese	晋语‎ (Jin)
ckb		Central Kurdish	کوردیی ناوەندی
ckh		Chak	
ckl		Cibak	
ckn		Kaang Chin	Kaang Chin
cko		Anufo	Anufo
ckq		Kajakse	
ckr		Kairak	
cks		Tayo	
ckt		Chukot	
cku		Koasati	Koasati
ckv		Kavalan	
ckx		Caka	
cky		Cakfem-Mushere	
ckz		Cakchiquel-Quiché Mixed Language	
cla		Ron	
clc		Chilcotin	Tŝinlhqot’in
cld		Chaldean Neo-Aramaic	
cle		Lealao Chinantec	
clh		Chilisso	
cli		Chakali	
clj		Laitu Chin	Laitu Chin
clk		Idu-Mishmi	
cll		Chala	
clm		Clallam	
clo		Lowland Oaxaca Chontal	Lajltyaygi
clt		Lautu Chin	Lautu Chin
clu		Caluyanun	
clw		Chulym	
cly		Eastern Highland Chatino	Cha’ jna’a
cma		Maa	
cme		Cerma	
cmg		Classical Mongolian	
cmi		Emberá-Chamí	
cml		Campalagian	
cmm		Michigamea	
cmn		Mandarin Chinese	普通话‎ (Putonghua)
cmo		Central Mnong	
cmr		Mro-Khimi Chin	Khimi, Mro-Khimi
cms		Messapic	
cmt		Camtho	
cna		Changthang	
cnb		Chinbon Chin	Uppu, Uppu Chin
cnc		Côông	
cng		Northern Qiang	
cnh		Hakha Chin	Lai, Lai Chin
cni		Asháninka	Asháninka
cnk		Khumi Chin	Khumi, Khumi Chin
cnl		Lalana Chinantec	Jujmi
cno		Con	
cns		Central Asmat	
cnt		Tepetotutla Chinantec	Jajmi dzä kï ï’, Jejmi
cnu		Chenoua	
cnw		Ngawn Chin	
cnx		Middle Cornish	
coa		Cocos Islands Malay	
cob		Chicomuceltec	
coc		Cocopa	Kuapá
cod		Cocama-Cocamilla	
coe		Koreguaje	
cof		Colorado	
cog		Chong	
coh		Chonyi-Dzihana-Kauma	
coj		Cochimi	
cok		Santa Teresa Cora	Kwéimarusa’na
col		Columbia-Wenatchi	
com		Comanche	
con		Cofán	A’ingae
coo		Comox	
cop		Coptic	
coq		Coquille	
cot		Caquinte	
cou		Wamey	Wamay
cov		Cao Miao	
cow		Cowlitz	
cox		Nanti	
coz		Chochotec	
cpa		Palantla Chinantec	Jajme dzä mii, Jmiih kia’ dzä mii
cpb		Ucayali-Yurúa Ashéninka	
cpc		Ajyíninka Apurucayali	Ajyéninka
cpg		Cappadocian Greek	
cpi		Chinese Pidgin English	
cpn		Cherepon	
cpo		Kpeego	
cps		Capiznon	
cpu		Pichis Ashéninka	
cpx		Pu-Xian Chinese	
cpy		South Ucayali Ashéninka	
cqd		Chuanqiandian Cluster Miao	
cra		Chara	
crb		Island Carib	
crc		Lonwolwol	
crd		Coeur d'Alene	
crf		Caramanta	
crg		Michif	
crh		Crimean Turkish	Qirim, Qirimtatar
cri		Sãotomense	
crj		Southern East Cree	ᐄᓅ ᐊᔨᒨᓐ, Īnū Ayimūn
crk		Plains Cree	ᓀᐦᐃᔭᐍᐏᐣ, Nēhiyawēwin
crl		Northern East Cree	ᐄᔨᔫ ᐊᔨᒨᓐ, Īyiyū Ayimūn
crm		Moose Cree	Mōsonī, Ililiw
crn		El Nayar Cora	Naáyeri
cro		Crow	
crq		Iyo'wujwa Chorote	Yojwaja
crr		Carolina Algonquian	
crs		Seselwa Creole French	Seselwa
crt		Iyojwa'ja Chorote	
crv		Chaura	
crw		Chrau	
crx		Carrier	Dakelh
cry		Cori	
crz		Cruzeño	
csa		Chiltepec Chinantec	
csb		Kashubian	
csc		Catalan Sign Language	
csd		Chiangmai Sign Language	
cse		Czech Sign Language	
csf		Cuba Sign Language	
csg		Chilean Sign Language	
csh		Asho Chin	Asho, Asho Chin
csi		Coast Miwok	
csj		Songlai Chin	
csk		Jola-Kasa	
csl		Chinese Sign Language	
csm		Central Sierra Miwok	
csn		Colombian Sign Language	
cso		Sochiapam Chinantec	Jaú jm_, Jmiih kia’ dzä jii’
csq		Croatia Sign Language	
csr		Costa Rican Sign Language	
css		Southern Ohlone	
cst		Northern Ohlone	
csv		Sumtu Chin	Cumtu, Sumtu Chin
csw		Swampy Cree	
csy		Siyin Chin	
csz		Coos	
cta		Tataltepec Chatino	Cha’ jna’a
ctc		Chetco	
ctd		Tedim Chin	Tidim
cte		Tepinapa Chinantec	Jujmi
ctg		Chittagonian	চাঁটগাঁইয়া বুলি‎ (Caṭgãia Buli)
cth		Thaiphum Chin	Thaiphum
ctl		Tlacoatzintepec Chinantec	Jau jmai
ctm		Chitimacha	
ctn		Chhintange	
cto		Emberá-Catío	
ctp		Western Highland Chatino	Cha’ jna’a
cts		Northern Catanduanes Bikol	
ctt		Wayanad Chetti	
ctu		Chol	Lakty’añ
ctz		Zacatepec Chatino	Cha’ jna’a
cua		Cua	
cub		Cubeo	Pamié
cuc		Usila Chinantec	Jaú jm_, Jmiih kia’ dzä jii’
cug		Chungmboko	Chungmboko
cuh		Chuka	
cui		Cuiba	
cuj		Mashco Piro	
cuk		San Blas Kuna	
cul		Culina	Madiha
cuo		Cumanagoto	
cup		Cupeño	
cuq		Cun	
cur		Chhulung	
cut		Teutila Cuicatec	Dubaku
cuu		Tai Ya	
cuv		Cuvok	
cuw		Chukwa	
cux		Tepeuxila Cuicatec	Dibaku
cvg		Chug	
cvn		Valle Nacional Chinantec	
cwa		Kabwa	
cwb		Maindo	
cwd		Woods Cree	
cwe		Kwere	Nghwele
cwg		Chewong	
cwt		Kuwaataay	
cya		Nopala Chatino	Cha’ jna’a
cyb		Cayubaba	
cyo		Cuyonon	
czh		Huizhou Chinese	
czk		Knaanic	
czn		Zenzontepec Chatino	Cha’ jna’a
czo		Min Zhong Chinese	
czt		Zotung Chin	Zotung, Zotung Chin
daa		Dangaléat	
dac		Dambi	
dad		Marik	
dae		Duupa	
dag		Dagbani	Dagbanli
dah		Gwahatike	
dai		Day	
daj		Dar Fur Daju	Bekke
dak		Dakota	
dal		Dahalo	
dam		Damakawa	
dao		Daai Chin	Daai Chin, Dai
daq		Dandami Maria	
dar		Dargwa	
das		Daho-Doo	
dau		Dar Sila Daju	
dav		Taita	Kitaita
daw		Davawenyo	
dax		Dayi	
daz		Dao	
dba		Bangime	
dbb		Deno	
dbd		Dadiya	
dbe		Dabe	
dbf		Edopi	
dbg		Dogul Dom Dogon	
dbi		Doka	
dbj		Ida'an	
dbl		Dyirbal	
dbm		Duguri	
dbn		Duriankere	
dbo		Dulbu	
dbp		Duwai	
dbq		Daba	
dbr		Dabarre	
dbt		Ben Tey Dogon	
dbu		Bondum Dom Dogon	
dbv		Dungu	
dbw		Bankan Tey Dogon	
dby		Dibiyaso	
dcc		Deccan	
dcr		Negerhollands	
dda		Dadi Dadi	
ddd		Dongotono	
dde		Doondo	
ddg		Fataluku	
ddi		West Goodenough	
ddj		Jaru	
ddn		Dendi (Benin)	Songhay
ddo		Dido	
ddr		Dhudhuroa	
dds		Donno So Dogon	
ddw		Dawera-Daweloor	
dec		Dagik	Tharuwa
ded		Dedua	
dee		Dewoin	
def		Dezfuli	
deg		Degema	
deh		Dehwari	
dei		Demisa	
dek		Dek	
del		Delaware	
dem		Dem	
den		Slave	
dep		Pidgin Delaware	
deq		Dendi (Central African Republic)	
der		Deori	
des		Desano	
dev		Domung	
dez		Dengese	
dga		Southern Dagaare	
dgb		Bunoge Dogon	
dgc		Casiguran Dumagat Agta	
dgd		Dagaari Dioula	
dge		Degenan	
dgg		Doga	
dgh		Dghwede	
dgi		Northern Dagara	
dgk		Dagba	
dgl		Andaandi	Andaandi
dgn		Dagoman	
dgo		Dogri (individual language)	
dgr		Dogrib	Tlicho
dgs		Dogoso	
dgt		Ndra'ngith	
dgu		Degaru	
dgw		Daungwurrung	
dgx		Doghoro	
dgz		Daga	
dhd		Dhundari	
dhg		Dhangu-Djangu	Dhangu-Djangu, Yolngu-Matha
dhi		Dhimal	
dhl		Dhalandji	
dhm		Zemba	
dhn		Dhanki	
dho		Dhodia	
dhr		Dhargari	
dhs		Dhaiso	
dhu		Dhurga	
dhv		Dehu	
dhw		Dhanwar (Nepal)	
dhx		Dhungaloo	
dia		Dia	
dib		South Central Dinka	
dic		Lakota Dida	
did		Didinga	
dif		Dieri	
dig		Digo	
dih		Kumiai	
dii		Dimbong	
dij		Dai	
dik		Southwestern Dinka	
dil		Dilling	
dim		Dime	
din		Dinka	
dio		Dibo	
dip		Northeastern Dinka	
diq		Dimli (individual language)	
dir		Dirim	
dis		Dimasa	Grau Dima, Magrau
dit		Dirari	
diu		Diriku	
diw		Northwestern Dinka	
dix		Dixon Reef	
diy		Diuwe	
diz		Ding	
dja		Djadjawurrung	
djb		Djinba	
djc		Dar Daju Daju	Saaronge
djd		Djamindjung	
dje		Zarma	Zarmaciine
djf		Djangun	
dji		Djinang	
djj		Djeebbana	
djk		Eastern Maroon Creole	
djm		Jamsay Dogon	
djn		Djauan	
djo		Jangkang	
djr		Djambarrpuyngu	
dju		Kapriman	
djw		Djawi	
dka		Dakpakha	
dkk		Dakka	
dkr		Kuijau	
dks		Southeastern Dinka	
dkx		Mazagway	
dlg		Dolgan	
dlk		Dahalik	
dlm		Dalmatian	
dln		Darlong	
dma		Duma	
dmb		Mombo Dogon	
dmc		Gavak	
dmd		Madhi Madhi	
dme		Dugwor	
dmg		Upper Kinabatangan	
dmk		Domaaki	
dml		Dameli	
dmm		Dama	
dmo		Kemedzung	
dmr		East Damar	
dms		Dampelas	
dmu		Dubu	
dmv		Dumpas	
dmw		Mudburra	
dmx		Dema	
dmy		Demta	
dna		Upper Grand Valley Dani	
dnd		Daonda	
dne		Ndendeule	
dng		Dungan	
dni		Lower Grand Valley Dani	
dnj		Dan	Dan
dnk		Dengka	
dnn		Dzùùngoo	
dnr		Danaru	
dnt		Mid Grand Valley Dani	
dnu		Danau	
dnv		Danu	
dnw		Western Dani	
dny		Dení	Madiha
doa		Dom	
dob		Dobu	
doc		Northern Dong	
doe		Doe	
dof		Domu	
doh		Dong	
doi		Dogri	
dok		Dondo	
dol		Doso	
don		Toura (Papua New Guinea)	
doo		Dongo	
dop		Lukpa	
doq		Dominican Sign Language	
dor		Dori'o	
dos		Dogosé	
dot		Dass	
dov		Dombe	
dow		Doyayo	
dox		Bussa	
doy		Dompo	
doz		Dorze	
dpp		Papar	
drb		Dair	
drc		Minderico	Minderico, Piação dos Charales do Ninhou
drd		Darmiya	
dre		Dolpo	
drg		Rungus	Momogun
dri		C'Lela	Lela
drl		Paakantyi	
drn		West Damar	
dro		Daro-Matu Melanau	
drq		Dura	
drr		Dororo	
drs		Gedeo	
drt		Drents	
dru		Rukai	
dry		Darai	
dsb		Lower Sorbian	dolnoserbšćina
dse		Dutch Sign Language	
dsh		Daasanach	
dsi		Disa	
dsl		Danish Sign Language	
dsn		Dusner	
dso		Desiya	
dsq		Tadaksahak	Idaksahak
dta		Daur	
dtb		Labuk-Kinabatangan Kadazan	Sungai, Sungai Kinabatangan
dtd		Ditidaht	
dth		Adithinngithigh	
dti		Ana Tinga Dogon	
dtk		Tene Kan Dogon	
dtm		Tomo Kan Dogon	
dtn		Daatsʼíin	
dto		Tommo So Dogon	
dtp		Central Dusun	Kadazan Dusun
dtr		Lotud	
dts		Toro So Dogon	
dtt		Toro Tegu Dogon	
dtu		Tebul Ure Dogon	
dty		Dotyali	
dua		Duala	duálá
dub		Dubli	
duc		Duna	
dud		Hun-Saare	
due		Umiray Dumaget Agta	
duf		Dumbea	
dug		Duruma	
duh		Dungra Bhil	
dui		Dumun	
duk		Uyajitaya	
dul		Alabat Island Agta	
dum		Middle Dutch	
dun		Dusun Deyah	
duo		Dupaninan Agta	
dup		Duano	
duq		Dusun Malang	
dur		Dii	
dus		Dumi	
duu		Drung	
duv		Duvle	
duw		Dusun Witu	
dux		Duungooma	
duy		Dicamay Agta	
duz		Duli-Gey	
dva		Duau	
dwa		Diri	
dwr		Dawro	
dws		Dutton World Speedwords	
dwu		Dhuwal	
dww		Dawawa	
dwy		Dhuwaya	
dya		Dyan	
dyb		Dyaberdyaber	
dyd		Dyugun	
dyg		Villa Viciosa Agta	
dyi		Djimini Senoufo	
dym		Yanda Dom Dogon	
dyn		Dyangadi	
dyo		Jola-Fonyi	joola
dyu		Dyula	Julakan
dyy		Dyaabugay	
dza		Tunzu	
dze		Djiwarli	
dzg		Dazaga	Dazaga
dzl		Dzalakha	
dzn		Dzando	
eaa		Karenggapa	
ebg		Ebughu	
ebk		Eastern Bontok	
ebo		Teke-Ebo	
ebr		Ebrié	
ebu		Embu	Kĩembu
ecr		Eteocretan	
ecs		Ecuadorian Sign Language	
ecy		Eteocypriot	
eee		E	
efa		Efai	
efe		Efe	
efi		Efik	Efik
ega		Ega	
egl		Emilian	Emigliân
ego		Eggon	
egy		Ancient Egyptian	
ehu		Ehueun	
eip		Eipomek	Lik
eit		Eitiep	
eiv		Askopan	
eja		Ejamat	
eka		Ekajuk	
ekc		Eastern Karnic	
eke		Ekit	
ekg		Ekari	Me
eki		Eki	
ekk		Standard Estonian	Eesti Kirjakeel
ekl		Kol (Bangladesh)	
ekm		Elip	Nulibié
eko		Koti	
ekp		Ekpeye	
ekr		Yace	
eky		Eastern Kayah	
ele		Elepi	
elh		El Hugeirat	
eli		Nding	
elk		Elkei	
elm		Eleme	
elo		El Molo	
elu		Elu	
elx		Elamite	
ema		Emai-Iuleha-Ora	
emb		Embaloh	
eme		Emerillon	
emg		Eastern Meohang	
emi		Mussau-Emira	Mussau
emk		Eastern Maninkakan	Maninka
emm		Mamulique	
emn		Eman	
emp		Northern Emberá	Embera
ems		Pacific Gulf Yupik	Aleut
emu		Eastern Muria	
emw		Emplawas	
emx		Erromintxela	
emy		Epigraphic Mayan	
ena		Apali	
enb		Markweeta	
enc		En	
end		Ende	
enf		Forest Enets	
enh		Tundra Enets	
enl		Enlhet	
enm		Middle English	
enn		Engenni	
eno		Enggano	
enq		Enga	
enr		Emumu	
enu		Enu	
env		Enwan (Edu State)	
enw		Enwan (Akwa Ibom State)	
enx		Enxet	
eot		Beti (Côte d'Ivoire)	
epi		Epie	
era		Eravallan	
erg		Sie	
erh		Eruwa	
eri		Ogea	
erk		South Efate	
ero		Horpa	
err		Erre	
ers		Ersu	
ert		Eritai	
erw		Erokwanas	
ese		Ese Ejja	
esg		Aheri Gondi	
esh		Eshtehardi	
esi		North Alaskan Inupiatun	
esk		Northwest Alaska Inupiatun	
esl		Egypt Sign Language	
esm		Esuma	
esn		Salvadoran Sign Language	
eso		Estonian Sign Language	
esq		Esselen	
ess		Central Siberian Yupik	
esu		Central Yupik	
esy		Eskayan	
etb		Etebi	
etc		Etchemin	
eth		Ethiopian Sign Language	
etn		Eton (Vanuatu)	
eto		Eton (Cameroon)	
etr		Edolo	Edolo
ets		Yekhee	
ett		Etruscan	
etu		Ejagham	
etx		Eten	Iten
etz		Semimi	
eve		Even	
evh		Uvbie	
evn		Evenki	
ewo		Ewondo	ewondo
ext		Extremaduran	Barranquênhu
eya		Eyak	
eyo		Keiyo	
eza		Ezaa	Ezaa
eze		Uzekwe	
faa		Fasu	
fab		Fa d'Ambu	Fa d’Ambu
fad		Wagi	
faf		Fagani	
fag		Finongan	
fah		Baissa Fali	
fai		Faiwol	
faj		Faita	
fak		Fang (Cameroon)	Benjube Fenga
fal		South Fali	
fam		Fam	
fan		Fang	Fang
fap		Palor	Paloor
far		Fataleka	
fat		Fanti	
fau		Fayu	
fax		Fala	Fala, Nosa Fala
fay		Southwestern Fars	
faz		Northwestern Fars	
fbl		West Albay Bikol	Bikol
fcs		Quebec Sign Language	
fer		Feroge	
ffi		Foia Foia	Foia Foia
ffm		Maasina Fulfulde	
fgr		Fongoro	
fia		Nobiin	
fie		Fyer	
fil		Filipino	Filipino
fip		Fipa	Ichifipa
fir		Firan	
fit		Tornedalen Finnish	
fiw		Fiwaga	
fkk		Kirya-Konzəl	Karya, Konzal
fkv		Kven Finnish	
fla		Kalispel-Pend d'Oreille	
flh		Foau	
fli		Fali	
fll		North Fali	
fln		Flinders Island	
flr		Fuliiru	
fly		Flaaitaal	
fmp		Fe'fe'	
fmu		Far Western Muria	
fnb		Fanbak	
fng		Fanagalo	
fni		Fania	
fod		Foodo	
foi		Foi	
fom		Foma	
fon		Fon	Fongbe
for		Fore	
fos		Siraya	
fpe		Fernando Po Creole English	
fqs		Fas	
frc		Cajun French	
frd		Fordata	
frk		Frankish	
frm		Middle French	
fro		Old French	
frp		Arpitan	
frq		Forak	
frr		Northern Frisian	
frs		Eastern Frisian	
frt		Fortsenal	
fse		Finnish Sign Language	
fsl		French Sign Language	
fss		Finland-Swedish Sign Language	
fub		Adamawa Fulfulde	Fulfulde
fuc		Pulaar	
fud		East Futuna	
